incidentType,declarationTitle
Biological,['COVID-19 PANDEMIC' 'COVID-19' 'COVID-19 ']
Chemical,['CHEMICAL SPILL']
Coastal Storm,"['SEVERE STORM AND FLOODING' 'SEVERE STORM' 'TROPICAL STORM LEE'
 'TROPICAL STORM BARRY' 'HURRICANE KATRINA EVACUATION'
 'TORRENTIAL RAIN, HIGH TIDE & WINDS'
 'SEVERE STORMS, HIGH WINDS & HIGH TIDES' 'TROPICAL STORM FAY'
 'SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE'
 'TROPICAL STORM ALLISON' 'TX-TROPICAL STORM ALLISON-06-06-2001'
 'SEVERE WINTER COASTAL STORM, HIGH WINDS, FLOODING'
 'HIGH SURF AND WAVE ACTION' 'SEVERE COASTAL STORM & FLOODING'
 'WINTER COASTAL STORM' 'COASTAL STORM'
 'COASTAL STORMS, FLOODS, SLIDES & TORNADOES' 'TROPICAL STORM AGNES'
 'COASTAL STORMS' 'TROPICAL STORM NICHOLAS' 'TROPICAL STORM CRISTOBAL ']"
Dam/Levee Break,"['SEVERE STORMS AND FLOODING'
 'POTENTIAL FAILURE OF THE EMERGENCY SPILLWAY AT OROVILLE LAKE'
 'FLOODING AS A RESULT OF A LEVEE BREAK' 'DAM FAILURE'
 'FLOOD DUE TO BROKEN DAM']"
Drought,"['DROUGHT' 'EXTREME FIRE HAZARD' 'WATER SHORTAGE' 'IMPACT OF DROUGHT'
 'DROUGHT, LIVESTOCK LOSSES' 'SEVERE DROUGHT' 'DROUGHT, CROP LOSSES'
 'EXTREME DROUGHT CONDITIONS' 'DROUGHT & IMPENDING FREEZE']"
Earthquake,"['EARTHQUAKE' 'EARTHQUAKE AND AFTERSHOCKS' 'EARTHQUAKES'
 'EARTHQUAKE,TSUNAMI, AND FLOODING' 'EARTHQUAKE & AFTERSHOCKS'
 'LOMA PRIETA EARTHQUAKE' 'COALINGA EARTHQUAKE'
 'EARTHQUAKE, SEISMIC WAVES & VOLCANIC ERUPTION' 'SAN FERNANDO EARTHQUAKE'
 'EARTHQUAKES & VOLCANIC DISTURBANCES' ' NORTHRIDGE EARTHQUAKE']"
Fire,"['QUEENS RIVER FIRE' 'HADDAM FIRE' 'NAKIA CREEK FIRE' ... 'STERLING FIRE '
 'CASH JOHNSON FIRE ' 'PARADISE FIRE ']"
Fishing Losses,"['RED TIDE-TOXIC ALGAE' 'THE EL NINO (THE SALMON INDUSTRY)'
 'TOXIC ALGAE IN COASTAL WATERS']"
Flood,"['SEVERE STORMS, FLOODING, AND TORNADOES' 'SEVERE STORMS AND FLOODING'
 'SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES' 'FLOODING'
 'SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES'
 'SEVERE STORMS, TORNADOES, AND FLOODING'
 'SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES'
 'SEVERE STORM AND FLOODING'
 'SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING'
 'SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN '
 'SEVERE STORM, FLOODING, AND LANDSLIDES'
 'FLOODING, LANDSLIDES, AND MUDSLIDES'
 'SEVERE STORMS, FLOODING, AND LANDSLIDES'
 'SEVERE, STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES'
 'SEVERE STORMS, FLOODING, AND MUDSLIDES' 'FLOODING '
 'SEVERE WINTER STORM AND FLOODING' 'TROPICAL STORM IMELDA'
 'SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING'
 'SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING'
 'SEVERE WINTER STORM, STRAIGHT-LINE WINDS, AND FLOODING'
 'SEVERE WINTER STORM, SNOWSTORM, AND FLOODING'
 'SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES'
 'SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES'
 'SEVERE STORMS, LANDSLIDES, AND MUDSLIDES'
 'SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING'
 'SEVERE WINTER STORMS AND FLOODING'
 'SEVERE WINTER STORMS, FLOODING, LANDSLIDES,  MUDSLIDES'
 'SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES'
 'SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T'
 'SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES'
 'ICE JAMS AND FLOODING' 'SEVERE STORMS, FLOODING, LANDSLIDES, MUDSLIDES'
 'SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES'
 'REMNANTS OF TROPICAL STORM LEE' 'TROPICAL STORM LEE'
 'EXTREME WEATHER CONDITIONS AND FLOODING' 'TROPICAL STORM ALBERTO'
 'SEVERE STORMS & FLOODING' 'THREAT OF FLOODING AT SPIRIT LAKE'
 'RAIN, FLOODING, MUDSLIDE' 'ICE JAM & FLOODING'
 'SEVERE STORMS, LANDSLIDES & FLOODING' 'SEVERE FLOODING'
 'HEAVY RAINS & FLOODING' 'FLOODNG (NYS BARGE CANAL)'
 'SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS'
 'ICE JAM AND FLOODING'
 'SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS'
 'SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES'
 'SEVERE STORMS, ICE JAMS, AND FLOODING' 'FLOODING AND ICE JAMS'
 'SEVERE WINTER STORM, LANDSLIDES, MUDSLIDES, AND FLOODING'
 'SNOW MELT AND ICE JAM FLOODING' 'FLOODING AND LANDSLIDES'
 'HEAVY RAINS AND FLOODING'
 'SEVERE WINTER STORMS, FLOODING, AND TORNADOES'
 'FLOODING, SEVERE STORMS AND TORNADOES'
 'SEVERE THUNDERSTORMS AND FLASH FLOODING'
 'FLOODING, SEVERE STORMS, AND LANDSLIDES' 'TROPICAL DEPRESSION DENNIS PA'
 'WI-FLOOD-07/20/99' 'TX-FLOODING 10/18/98'
 'SEVERE STORMS, TORNADOES AND FLOODING'
 'FLOODING, GROUND SATURATION,SEVERE STORMS'
 'FLOODING, SEVERE STORMS, TORNADOES'
 'SEVERE STORMS, HEAVY RAIN, FLASH FLOODS, FLOODING, MUDSLIDES'
 'EXCESSIVE RAINFALL, HIGH WINDS, AND FLOODING' 'FL00DING, SNOW MELT'
 'FLOODING, SEVERE STORMS' 'SEVERE FLOODING, HIGH WINDS,SEVERE STORMS'
 'SEVERE FLOODING,SEVERE WINTER STORMS, SNOWMELT, SPRING RAINS'
 'SEVERE FLOODING, SEVER WINTER STORMS,HEAVY RAINS HIGH WINDS'
 'HEAVY RAINS, SNOW MELT, FLOODING, LAND & MUD SLIDES'
 'HEAVY & WIND DRIVEN RAIN, HIGH WINDS,FLOODING,SLIDES'
 'SEVERE THUNDERSTORMS, HIGH WINDS,RAIN, FLOODING'
 'FLOODING, LAND, MUD SLIDES, HIGH WINDS,SEVERE STORMS'
 'PROLONGED AND HEAVY RAINS, HIGH SURF,FLOODING,LAND/MUD SLIDE'
 'FALL NORTHEASTER RAINSTORM' 'EXTREME WEATHER CONDITONS AND FLOODING'
 'SEVERE WINDS AND FLOODING ASSOC WITH HURRICANE FRAN'
 'FLOODING ASSOCIATED WITH TROPICAL DEPRESSION FRAN'
 'SEVERE STORMS, FLOODING AND TORNADOES' 'EXTREME RAINFALL AND FLOODING'
 'FLOODING AND SEVERE STORMS' 'FLOODING, HEAVY WINDS' 'BLIZZARD OF 96'
 'HIGH WINDS, SEVERE STORMS AND FLOODING'
 'HIGH WINDS, SEVERE  STORMS AND FLOODING'
 'FLOODING, HIGH WINDS, AND WIND DRIVEN RAIN'
 'SEVERE STORMS, FLOODING, HIGH WINDS' 'SEVERE THUNDERSTORMS AND FLOODING'
 'EXTENSIVE RAINFALL AND FLASH FLOODING' 'HEAVY RAIN, SNOWMELT & FLOODING'
 'HEAVY RAIN, SNOWMELT, ICE JAMS & FLOODING' 'ICE JAMS & FLOODING'
 'SEVERE WINTER STORM, MUD & LAND SLIDES, & FLOODING'
 'SEVERE STORMS, TORNADOES & FLOODING'
 'COASTAL STORM, HIGH TIDES, HEAVY RAIN, & FLOODING'
 'WINTER STORM & COASTAL FLOODING' 'SEVERE STORMS & FLASH FLOODING'
 'THUNDERSTORMS, HAIL & FLOODING' 'HEAVY RAINS, ICE JAMS & FLOODING'
 'RAIN/SNOW/WIND STORMS, FLOODING, MUDSLIDES' 'SEVERE COASTAL STORM'
 'TROPICAL STORM AXEL' 'SEVERE THUNDERSTORMS' 'SEVERE STORMS & HIGH TIDES'
 'SEVERE STORMS, MUDSLIDES & FLOODING' 'TROPICAL STORM ALLISON'
 'HEAVY RAINS, FLOODING & MUDSLIDES' 'DIKE FAILURE & FLASH FLOODING'
 'SEVERE STORMS, HIGH TIDES & FLOODING' 'STORMS & FLASH FLOODING'
 'COASTAL STORM, HIGH WINDS & WAVES' 'SEVERE STORM & FLOODING'
 'SEVERE STORMS, FLOODING' 'SEVERE STORMS'
 'HEAVY RAINS, LANDSLIDES & FLOODING' 'HEAVY RAINS, SNOWMELT & FLOODING'
 'SEVERE STORMS, FLOODING & MUDSLIDES' 'SEVERE STORMS, HAIL & FLOODING'
 'STORMS, MUD/LAND SLIDES, FLOODING'
 'SEVERE STORMS, MUDSLIDES, LANDSLIDES & FLOODING'
 'COASTAL STORMS & FLOODING' 'FLASH FLOODING'
 'SEVERE STORMS, FLOODING &  MUDSLIDES' 'LEVEE BREAK'
 'FLASH FLOOD DUE TO DAM FAILURE'
 'SEVERE STORMS, FLOOD, MUDSLIDES & HIGH TIDE' 'LEVEE BREAK & FLOODING'
 'TROPICAL STORM DANIELLE' 'SEVERE STORMS, HIGH SURF & FLOODING'
 'STORMS, HIGH TIDES, MUDSLIDES & FLOODING' 'SEAWAVE ACTION & FLOODING'
 'FLOODING, MUDSLIDES & LANDSLIDES' 'STORMS & FLASH FLOODS'
 'HEAVY RAINS, FLASH FLOODS & MUD FLOWS' 'SEVERE STORMS,FLASH FLOODS'
 'SEVERE STORMS, SNOWMELT & FLOODING' 'STORMS, WIND, FLOODING'
 'LANDSLIDES' 'TROPICAL STORM CARMEN'
 'STORMS, ICE JAMS, SNOWMELT & FLOODING'
 'HIGH WINDS, TIDAL SURGE & COASTAL FLOODING'
 'COASTAL STORMS, MUDSLIDES & FLOODING'
 'COASTAL STORMS, FLOOD, ICE & SNOW' 'SEVERE STORMS,MUDSLIDES, & FLOODING'
 'DAM COLLAPSE, FLOODING' 'FLOODING, TROPICAL STORM KATHLEEN'
 'SEVERE STORMS, HIGH WINDS & FLOODING' 'HIGH WINDS, FLASH FLOODS'
 'FLASH FLOODING & MUDSLIDES' 'SEVERE STORMS, ICING, WIND & FLOODING'
 'STORMS, RAINS, LANDSLIDES & FLOODING'
 'SEVERE STORMS, HEAVY RAINS & FLOODING'
 'HIGH WINDS, HEAVY RAINS & FLOODING' 'TROPICAL STORM ELIOISE'
 'WINDS, TORNADOES, HEAVY RAINS & FLOODING'
 'HEAVY RAINS, HIGH WINDS, HAIL & TORNADOES'
 'RAINS, SHOWMELT, STORMS & FLOODING' 'FLOODING FROM RAINS & SNOWMELT'
 'SEVERE STORMS, FLOODING & LANDSLIDES'
 'SEVERE STORMS, FLOODING, & LANDSLIDES' 'FLOODING & LANDSLIDES'
 'HEAVY RAINS, SNOWMELT AND FLOODING'
 'SEVERE STORMS, SNOW MELT & FLOODING'
 'HIGH WINDS, WAVE ACTION & FLOODING' 'TROPICAL STORM AGNES'
 'FLOODING CAUSED BY LEVEE BREAK' 'SEVERE STORMS & EXTENSIVE FLOODING'
 'WINDS, FLOODING, MUDSLIDES' 'HEAVY RAINS & FLOODS'
 'HEAVY RAINS, HIGH WINDS & FLOODING' 'FLOODS' 'STORMS & FLOODING'
 'HEAVY RAINS, MELTING SNOWS & FLOODING' 'HEAVY RAINS & FLASH'
 'SEVERE STORMS, ICE JAMS & FLOODING' 'HEAVY SNOWMELT, RAINS & FLOODING'
 'ABNORMALLY HIGH TIDES' 'FLOODS & TORNADOES'
 'SEVERE STORM, HIGH TIDES & FLOODING' 'FLOOD' 'HEAVY RAINSTORMS & FLOODS'
 'HEAVY RAINSTORMS & FLOOD' 'STORM & FLOOD' 'FLOODS & RAINS'
 'FLOOD & TORNADO' 'FLOOD & EROSION'
 'SEVERE STORMS, FLOODING, & GROUND SATURATION'
 'SEVERE WINTER STORMS, FLOODING, AND ICE JAMS'
 'SEVERE STORMS, FLOODING, SNOW, ICE, GROUND SATURATION, LANSLIDES, MUDSLIDES, AND TOR'
 'SEVERE STORM AND FLOODING ' 'SEVERE STORMS AND FLOODING ']"
Freezing,"['SEVERE FREEZE' 'SEVERE WINTER COLD AND FROST'
 'CA-CITRUS CROP DAMAGE 2/2/99' 'SEVERE DEEP FREEZE' 'SEVERE FREEZING'
 'FREEZING TEMPERATURES' 'SEVERE FREEZING WEATHER'
 'SHRIMP LOSS DUE TO COLD WEATHER' 'SEVERE WINTER WEATHER'
 'ICE CONDITIONS' 'FREEZE IN SPAWNING AREAS OF RED SALMON' 'FREEZE'
 'SEVERE FREEZE ']"
